Process INIT
Execution for processFile[PERSONS to go...] 
CB [Carmen de Areco]:[Carmen de Areco - Carmen de Areco - Buenos Aires] [Carmen de Areco, Carmen de Areco, Buenos Aires]
CB [Colon]:[Colon - Colón - Buenos Aires] [Colon, Colon, Buenos Aires]
CB [Balneario Pehuen Co]:[Balneario Pehuen Co - Coronel de Marina L. Rosales - Buenos Aires] [Balneario Pehuen Co, Balneario Pehuen Co, Buenos Aires]
CB [Balneario Marisol]:[Balneario Marisol - Coronel Dorrego - Buenos Aires] [Balneario Marisol, Balneario Marisol, Buenos Aires]
CB [Oriente]:[Oriente - Coronel Dorrego - Buenos Aires] [Oriente, Oriente, Buenos Aires]
CB [Indio Rico]:[Indio Rico - Coronel Pringles - Buenos Aires] [Indio Rico, Indio Rico, Buenos Aires]
CB [D'Orbigny]:[D'Orbigny - Coronel Suárez - Buenos Aires] [D'Orbigny, D'Orbigny, Buenos Aires]
CB [Santa Trinidad]:[Santa Trinidad - Coronel Suárez - Buenos Aires] [Santa Trinidad, Santa Trinidad, Buenos Aires]
CB [O'Higgins]:[O'Higgins - Chacabuco - Buenos Aires] [O'Higgins, O'Higgins, Buenos Aires]
CB [Chivilcoy]:[Chivilcoy - Chivilcoy - Buenos Aires] [Chivilcoy, Chivilcoy, Buenos Aires]
CB [Ramon Biaus]:[Ramon Biaus - Chivilcoy - Buenos Aires] [Ramon Biaus, Ramon Biaus, Buenos Aires]
CB [La Larga]:[La Larga - Daireaux - Buenos Aires] [La Larga, La Larga, Buenos Aires]
CB [Ensenada]:[Ensenada - Ensenada - Buenos Aires] [Gran La Plata, Ensenada, Buenos Aires]
CB [Diego Gaynor]:[Diego Gaynor - Exaltación de la Cruz - Buenos Aires] [Diego Gaynor, Diego Gaynor, Buenos Aires]
CB [Florencio Varela]:[Florencio Varela - Florencio Varela - Buenos Aires] [Gran Buenos Aires, Florencio Varela, Buenos Aires]
CB [Comandante Nicanor Otamendi]:[Comandante Nicanor Otamendi - General Alvarado - Buenos Aires] [Comandante Nicanor Otamendi, Comandante Nicanor Otamendi, Buenos Aires]
CB [Arribeños]:[Arribeños - General Arenales - Buenos Aires] [Arribeños, Arribeños, Buenos Aires]
CB [La Angelita]:[La Angelita - General Arenales - Buenos Aires] [La Angelita, La Angelita, Buenos Aires]
CB [Labarden]:[Labarden - General Guido - Buenos Aires] [Labarden, Labarden, Buenos Aires]
CB [Libano]:[Libano - General Lamadrid - Buenos Aires] [Libano, Libano, Buenos Aires]
CB [Lozano]:[Lozano - General Las Heras - Buenos Aires] [Lozano, Lozano, Buenos Aires]
CB [Pavon]:[Pavon - General Lavalle - Buenos Aires] [Pavon, Pavon, Buenos Aires]
CB [Colonia San Ricardo]:[Colonia San Ricardo - General Pinto - Buenos Aires] [Colonia San Ricardo, Colonia San Ricardo, Buenos Aires]
CB [Barrio Colinas Verdes]:[Barrio Colinas Verdes - General Pueyrredón - Buenos Aires] [Barrio Colinas Verdes, Barrio Colinas Verdes, Buenos Aires]
CB [Barrio Santa  Paula]:[Barrio Santa  Paula - General Pueyrredón - Buenos Aires] [Barrio Santa  Paula, Barrio Santa  Paula, Buenos Aires]
CB [Mar del Plata]:[Mar del Plata - General Pueyrredón - Buenos Aires] [Mar del Plata, Mar del Plata, Buenos Aires]
CB [General San Martin]:[General San Martin - General San Martín - Buenos Aires] [Gran Buenos Aires, General San Martin, Buenos Aires]
CB [Zavalia]:[Zavalia - General Viamonte - Buenos Aires] [Zavalia, Zavalia, Buenos Aires]
CB [General Villegas]:[General Villegas - General Villegas - Buenos Aires] [General Villegas, General Villegas, Buenos Aires]
CB [Santa Regina]:[Santa Regina - General Villegas - Buenos Aires] [Santa Regina, Santa Regina, Buenos Aires]
CB [Garre]:[Garre - Guamini - Buenos Aires] [Garre, Garre, Buenos Aires]
CB [Hurlingham]:[Hurlingham - Hurlingham - Buenos Aires] [Gran Buenos Aires, Hurlingham, Buenos Aires]
CB [Balneario Laguna de Gomez]:[Balneario Laguna de Gomez - Junín - Buenos Aires] [Balneario Laguna de Gomez, Balneario Laguna de Gomez, Buenos Aires]
CB [Saforcada]:[Saforcada - Junín - Buenos Aires] [Saforcada, Saforcada, Buenos Aires]
CB [La Plata]:[La Plata - La Plata - Buenos Aires] [Gran La Plata, La Plata, Buenos Aires]
CB [Laprida]:[Laprida - Laprida - Buenos Aires] [Laprida, Laprida, Buenos Aires]
CB [Las Flores]:[Las Flores - Las Flores - Buenos Aires] [Las Flores, Las Flores, Buenos Aires]
CB [Juan Bautista Alberdi]:[Juan Bautista Alberdi - Leandro N. Alem - Buenos Aires] [Juan Bautista Alberdi, Juan Bautista Alberdi, Buenos Aires]
CB [Bermudez]:[Bermudez - Lincoln - Buenos Aires] [Bermudez, Bermudez, Buenos Aires]
CB [Lincoln]:[Lincoln - Lincoln - Buenos Aires] [Lincoln, Lincoln, Buenos Aires]
CB [Loberia]:[Loberia - Lobería - Buenos Aires] [Loberia, Loberia, Buenos Aires]
CB [Elvira]:[Elvira - Lobos - Buenos Aires] [Elvira, Elvira, Buenos Aires]
CB [Barrio Las Casuarinas]:[Barrio Las Casuarinas - Luján - Buenos Aires] [Barrio Las Casuarinas, Barrio Las Casuarinas, Buenos Aires]
CB [Lujan]:[Lujan - Luján - Buenos Aires] [Lujan, Lujan, Buenos Aires]
CB [General Mansilla]:[General Mansilla - Magdalena - Buenos Aires] [General Mansilla, General Mansilla, Buenos Aires]
CB [Las Armas]:[Las Armas - Maipú - Buenos Aires] [Las Armas, Las Armas, Buenos Aires]
CB [General Piran]:[General Piran - Mar Chiquita - Buenos Aires] [General Piran, General Piran, Buenos Aires]
CB [Vivorata]:[Vivorata - Mar Chiquita - Buenos Aires] [Vivorata, Vivorata, Buenos Aires]
CB [Tomas Jofre]:[Tomas Jofre - Mercedes - Buenos Aires] [Tomas Jofre, Tomas Jofre, Buenos Aires]
CB [Balneario Sauce Grande]:[Balneario Sauce Grande - Monte Hermoso - Buenos Aires] [Balneario Sauce Grande, Balneario Sauce Grande, Buenos Aires]
CB [Las Marianas]:[Las Marianas - Navarro - Buenos Aires] [Las Marianas, Las Marianas, Buenos Aires]
CB [Juan N. Fernandez]:[Juan N. Fernandez - Necochea - Buenos Aires] [Juan N. Fernandez, Juan N. Fernandez, Buenos Aires]
CB [Carlos Maria Naon]:[Carlos Maria Naon - 9 de Julio - Buenos Aires] [Carlos Maria Naon, Carlos Maria Naon, Buenos Aires]
CB [Marcelino Ugarte]:[Marcelino Ugarte - 9 de Julio - Buenos Aires] [Marcelino Ugarte, Marcelino Ugarte, Buenos Aires]
CB [Villa General Fournier]:[Villa General Fournier - 9 de Julio - Buenos Aires] [Villa General Fournier, Villa General Fournier, Buenos Aires]
CB [Espigas]:[Espigas - Olavarría - Buenos Aires] [Espigas, Espigas, Buenos Aires]
CB [Sierra Chica]:[Sierra Chica - Olavarría - Buenos Aires] [Sierra Chica, Sierra Chica, Buenos Aires]
CB [Cardenal Cagliero]:[Cardenal Cagliero - Patagones - Buenos Aires] [Cardenal Cagliero, Cardenal Cagliero, Buenos Aires]
CB [Villalonga]:[Villalonga - Patagones - Buenos Aires] [Villalonga, Villalonga, Buenos Aires]
CB [Magdala]:[Magdala - Pehuajó - Buenos Aires] [Magdala, Magdala, Buenos Aires]
CB [Bocayuva]:[Bocayuva - Pellegrini - Buenos Aires] [Bocayuva, Bocayuva, Buenos Aires]
CB [Guerrico]:[Guerrico - Pergamino - Buenos Aires] [Guerrico, Guerrico, Buenos Aires]
CB [Mariano Benitez]:[Mariano Benitez - Pergamino - Buenos Aires] [Mariano Benitez, Mariano Benitez, Buenos Aires]
CB [Villa Angelica]:[Villa Angelica - Pergamino - Buenos Aires] [Villa Angelica, Villa Angelica, Buenos Aires]
CB [Club de Campo Larena - Los Quinchos]:[Club de Campo Larena - Los Quinchos - Pilar - Buenos Aires] [Club de Campo Larena - Los Quinchos, Club de Campo Larena - Los Quinchos, Buenos Aires]
CB [Azopardo]:[Azopardo - Puan - Buenos Aires] [Azopardo, Azopardo, Buenos Aires]
CB [Felipe Sola]:[Felipe Sola - Puan - Buenos Aires] [Felipe Sola, Felipe Sola, Buenos Aires]
CB [Villa Iris]:[Villa Iris - Puan - Buenos Aires] [Villa Iris, Villa Iris, Buenos Aires]
CB [Veronica]:[Veronica - Punta Indio - Buenos Aires] [Veronica, Veronica, Buenos Aires]
CB [Ramallo]:[Ramallo - Ramallo - Buenos Aires] [Ramallo, Ramallo, Buenos Aires]
CB [Fortin Olavarria]:[Fortin Olavarria - Rivadavia - Buenos Aires] [Fortin Olavarria, Fortin Olavarria, Buenos Aires]
CB [Sansinena]:[Sansinena - Rivadavia - Buenos Aires] [Sansinena, Sansinena, Buenos Aires]
CB [Rafael Obligado]:[Rafael Obligado - Rojas - Buenos Aires] [Rafael Obligado, Rafael Obligado, Buenos Aires]
CB [Carlos Beguerie]:[Carlos Beguerie - Roque Pérez - Buenos Aires] [Carlos Beguerie, Carlos Beguerie, Buenos Aires]
CB [Espartillar (E)]:[Espartillar (E) - Saavedra - Buenos Aires] [Espartillar, Espartillar (E), Buenos Aires]
CB [Blaquier]:[Blaquier - Saladillo - Buenos Aires] [Blaquier, Blaquier, Buenos Aires]
CB [Arroyo Dulce]:[Arroyo Dulce - Salto - Buenos Aires] [Arroyo Dulce - Villa San Jose, Arroyo Dulce, Buenos Aires]
CB [Salto]:[Salto - Salto - Buenos Aires] [Salto, Salto, Buenos Aires]
CB [Franklin]:[Franklin - San Andrés de Giles - Buenos Aires] [Franklin, Franklin, Buenos Aires]
CB [Duggan]:[Duggan - San Antonio de Areco - Buenos Aires] [Duggan, Duggan, Buenos Aires]
CB [San Cayetano]:[San Cayetano - San Cayetano - Buenos Aires] [San Cayetano, San Cayetano, Buenos Aires]
CB [Erezcano]:[Erezcano - San Nicolás - Buenos Aires] [Erezcano, Erezcano, Buenos Aires]
CB [Gobernador Castro]:[Gobernador Castro - San Pedro - Buenos Aires] [Gobernador Castro, Gobernador Castro, Buenos Aires]
CB [Santa Lucia]:[Santa Lucia - San Pedro - Buenos Aires] [Santa Lucia, Santa Lucia, Buenos Aires]
CB [De La Canal]:[De La Canal - Tandil - Buenos Aires] [De La Canal, De La Canal, Buenos Aires]
CB [Crotto]:[Crotto - Tapalqué - Buenos Aires] [Crotto, Crotto, Buenos Aires]
CB [Villa Roch]:[Villa Roch - Tordillo - Buenos Aires] [Villa Roch, Villa Roch, Buenos Aires]
CB [Tres Picos]:[Tres Picos - Tornquist - Buenos Aires] [Tres Picos, Tres Picos, Buenos Aires]
CB [La Carreta]:[La Carreta - Trenque Lauquen - Buenos Aires] [La Carreta, La Carreta, Buenos Aires]
CB [Copetonas]:[Copetonas - Tres Arroyos - Buenos Aires] [Copetonas, Copetonas, Buenos Aires]
